,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
1548,opportunist,assault,police,physical injury,10/4/2021,dhanusa,inseconline.org
1549,minor,abuse,police,physical injury,10/4/2021,kaski,inseconline.org
1550,minor,abuse,police,physical injury,11/4/2021,sindhupalchowk,inseconline.org
1551,minor,assault,police,pregnant,11/4/2021,achham,inseconline.org
1552,gang,abuse,police,physical injury,12/4/2021,humla,inseconline.org
1553,opportunist,attempt,police,physical injury,12/4/2021,humla,inseconline.org
1554,gang,assault,police,physical injury,12/4/2021,syangja,inseconline.org
1555,gang,assault,police,physical injury,12/4/2021,nawalparasi,inseconline.org
1556,gang,abuse,police,physical injury,12/4/2021,gorkha,inseconline.org
1557,minor,abuse,police,physical injury,12/4/2021,okhaldhunga,nepalpolice.gov.np
1558,opportunist,assault,police,physical injury,11/4/2021,ramechhap,ekantipur.com
1559,minor,assault,police,physical injury,13/04/2021,bhojpur,nepalpolice.gov.np
1560,opportunist,assault,police,physical injury,14/04/2021,kathmandu,nepalpolice.gov.np
1561,minor,abuse,police,physical injury,16/04/2021,bhaktapur,nepalmonitor.org
1562,minor,abuse,police,physical injury,17/04/2021,sarlahi,nepalpolice.gov.np
1563,opportunist,assault,police,physical injury,18/04/2021,bardiya,nepalpolice.gov.np
1564,minor,assault,police,physical injury,20/04/2021,parsa,nepalpolice.gov.np
1565,opportunist,assault,police,physical injury,20/04/2021,bardiya,nepalpolice.gov.np
1566,opportunist,assault,police,physical injury,21/04/2021,sunsari,nepalpolice.gov.np
1567,opportunist,assault,police,physical injury,22/04/2021,bardiya,nepalpolice.gov.np
1568,minor,assault,police,physical injury,22/04/2021,nuwakot,nepalpolice.gov.np
1569,minor,assault,police,physical injury,24/04/2021,udayapur,nepalpolice.gov.np
1570,opportunist,assault,police,physical injury,24/04/2021,kailali,nepalpolice.gov.np
1571,minor,assault,police,physical injury,26/04/2021,morang,nepalnews.com
1572,minor,assault,police,physical injury,27/04/2021,kathmandu,ratopati.com
1573,minor,assault,police,physical injury,28/04/2021,bardiya,nepalpolice.gov.np
1574,minor,assault,police,physical injury,28/04/2021,kapilvastu,nepalpolice.gov.np
1575,minor,abuse,police,physical injury,28/04/2021,sindhupalchowk,nepalnews.com
1576,minor,assault,police,physical injury,29/04/2021,chitwan,nepallive.com
1577,minor,assault,police,physical injury,29/04/2021,dailekh,ratopati.com
1578,minor,assault,police,physical injury,29/04/2021,jumla,nepalnews.com
1579,opportunist,assault,police,physical injury,29/04/2021,bhaktapur,nepalkhabar.com
1580,minor,assault,police,physical injury,29/04/2021,kapilvastu,nepalnews.com
1581,minor,assault,police,physical injury,1/5/2021,rolpa,nepalnews.com
1582,minor,assault,police,physical injury,5/5/2021,kathmandu,onlinekhabar.com
1583,minor,abuse,police,physical injury,8/5/2021,siraha,inseconline.org
1584,opportunist,abuse,police,physical injury,8/5/2021,lalitpur,inseconline.org
1585,minor,attempt,police,physical injury,10/5/2021,kavre,newsofnepal.com
1586,gang,assault,police,physical injury,13/05/2021,palpa,ratopati.com
1587,minor,abuse,police,physical injury,14/05/2021,parsa,inseconline.org
1588,minor,abuse,police,physical injury,14/05/2021,dang,inseconline.org
1589,minor,assault,police,physical injury,15/05/2021,bhaktapur,nepalpolice.gov.np
1590,minor,assault,police,physical injury,17/05/2021,illam,nepalpress.com
1591,gang,assault,police,physical injury,17/05/2021,kapilvastu,ratopati.com
1592,minor,assault,police,physical injury,19/05/2021,bardiya,setokhari.com
1593,minor,assault,police,physical injury,20/05/2021,bhojpur,nepalnews.com
1594,gang,assault,police,physical injury,21/05/2021,mahottari,sajilopost.com
1595,gang,attempt,police,physical injury,22/05/2021,kalikot,inseconline.org
1596,minor,assault,police,physical injury,25/05/2021,gulmi,setopati.com
1597,opportunist,assault,police,physical injury,25/05/2021,syangja,kharibot.com
1598,minor,assault,police,physical injury,26/05/2021,rupandehi,ratopati.com
1599,minor,assault,police,physical injury,27/05/2021,palpa,koshionline.com
1600,opportunist,harassment,police,physical injury,27/05/2021,kailali,nepalpress.com
1601,opportunist,assault,police,physical injury,1/6/2021,sunsari,nepalpolice.gov.np
1602,minor,assault,police,physical injury,1/6/2021,udayapur,nagariknetwork.com
1603,opportunist,assault,police,physical injury,1/6/2021,sunsari,koshionline.com
1604,minor,assault,police,physical injury,1/6/2021,sunsari,koshionline.com
1605,minor,assault,police,physical injury,1/6/2021,bhaktapur,nepalpolice.gov.np
1606,minor,abuse,police,physical injury,1/6/2021,kathmandu,nepalpolice.gov.np
1607,minor,assault,police,physical injury,2/6/2021,bardiya,inseconline.org
1608,minor,assault,police,physical injury,2/6/2021,lalitpur,nepalpolice.gov.np
1609,minor,assault,police,physical injury,2/6/2021,sunsari,nepalpolice.gov.np
1610,minor,abuse,police,physical injury,2/6/2021,lamjung,inseconline.org
1611,opportunist,assault,police,physical injury,3/6/2021,siraha,inseconline.org
1612,opportunist,abuse,police,physical injury,3/6/2021,morang,inseconline.org
1613,opportunist,attempt,police,physical injury,4/6/2021,rolpa,inseconline.org
1614,opportunist,abuse,police,physical injury,4/6/2021,rolpa,setopati.com
1615,gang,assault,police,physical injury,5/6/2021,baitadi,nepalpolice.gov.np
1616,minor,assault,police,physical injury,5/6/2021,parsa,ekantipur.com
1617,gang,abuse,police,physical injury,5/6/2021,surkhet,thahakhabar.com
1618,gang,abuse,police,physical injury,5/6/2021,bhaktapur,onlinekhabar.com
1619,opportunist,assault,police,physical injury,6/6/2021,kanchanpur,nepalpolice.gov.np
1620,minor,abuse,police,physical injury,6/6/2021,rupandehi,inseconline.org
1621,opportunist,attempt,victim,physical injury,6/6/2021,tanahu,inseconline.org
1622,opportunist,assault,police,physical injury,7/6/2021,dailekh,inseconline.org
1623,minor,assault,victim,physical injury,8/6/2021,sunsari,inseconline.org
1624,opportunist,assault,police,physical injury,8/6/2021,lalitpur,inseconline.org
1625,gang,assault,police,physical injury,8/6/2021,kailali,inseconline.org
1626,opportunist,assault,police,pregnant,9/6/2021,taplejung,news24nepal.tv
1627,minor,assault,police,physical injury,9/6/2021,humla,news24nepal.tv
1628,opportunist,abuse,police,physical injury,9/6/2021,morang,inseconline.org
1629,gang,assault,police,physical injury,9/6/2021,makwanpur,ekantipur.com
1630,gang,assault,police,physical injury,10/6/2021,kanchanpur,onlinekhabar.com
1631,opportunist,assault,police,physical injury,11/6/2021,palpa,inseconline.org
1632,minor,assault,police,physical injury,11/6/2021,dang,inseconline.org
1633,opportunist,assault,police,physical injury,13/06/2021,lalitpur,nepalpolice.gov.np
1634,gang,assault,police,physical injury,13/06/2021,dang,inseconline.org
1635,minor,assault,police,physical injury,13/06/2021,kanchanpur,ratopati.com
1636,minor,abuse,police,physical injury,14/06/2021,nuwakot,ratopati.com
1637,minor,assault,police,physical injury,15/06/2021,dhanusa,news24nepal.tv
1638,minor,assault,police,physical injury,15/06/2021,morang,ratopati.com
1639,minor,assault,police,physical injury,17/06/2021,kaski,inseconline.org
1640,minor,assault,police,physical injury,19/06/2021,bhaktapur,thahakhabar.com
1641,gang,assault,police,physical injury,20/06/2021,manang,nepalpolice.gov.np
1642,gang,assault,police,physical injury,20/06/2021,dang,ekantipur.com
1643,minor,assault,police,physical injury,21/06/2021,siraha,inseconline.org
1644,opportunist,assault,police,physical injury,23/06/2021,parsa,nepalpolice.gov.np
1645,opportunist,assault,police,physical injury,23/06/2021,kaski,ratopati.com
1646,minor,assault,police,physical injury,24/06/2021,dhankuta,rajdhanidaily.com
1647,minor,assault,police,physical injury,24/06/2021,tanahu,onlinekhabar.com
1648,gang,assault,police,physical injury,24/06/2021,parsa,onlinekhabar.com
1649,opportunist,assault,police,physical injury,24/06/2021,siraha,nagariknetwork.com
1650,gang,assault,police,physical injury,24/06/2021,jhapa,nepalnews.com
1651,opportunist,assault,police,physical injury,24/06/2021,kanchanpur,kharibot.com
1652,opportunist,assault,police,physical injury,25/06/2021,khotang,news24nepal.tv
1653,opportunist,assault,police,physical injury,26/06/2021,kathmandu,pahilopost.com
1654,minor,assault,police,physical injury,28/06/2021,bhaktapur,nagariknetwork.com
1655,opportunist,assault,police,physical injury,29/06/2021,rolpa,setopati.com
1656,minor,assault,police,physical injury,29/06/2021,dang,setopati.com
1657,opportunist,assault,police,physical injury,30/06/2021,banke,nepalnews.com
1658,opportunist,assault,police,physical injury,1/7/2021,palpa,ratopati.com
1659,opportunist,assault,police,physical injury,2/7/2021,bardiya,nepalpolice.gov.np
1660,minor,assault,police,physical injury,2/7/2021,bardiya,nepalpolice.gov.np
1661,opportunist,attempt,police,physical injury,3/7/2021,saptari,rajdhanidaily.com
1662,opportunist,assault,police,physical injury,3/7/2021,salyan,ratopati.com
1663,gang,assault,police,physical injury,5/7/2021,nuwakot,rajdhanidaily.com
1664,minor,assault,police,physical injury,6/7/2021,bara,nepalpolice.gov.np
1665,minor,assault,police,physical injury,6/7/2021,sunsari,nagariknetwork.com
1666,opportunist,assault,police,physical injury,7/7/2021,rautahat,ratopati.com
1667,opportunist,assault,police,physical injury,8/7/2021,syangja,thahakhabar.com
1668,gang,abuse,police,physical injury,8/7/2021,okhaldhunga,kathmandupress.com
1669,opportunist,attempt,police,physical injury,9/7/2021,chitwan,nepalnews.com
1670,minor,assault,police,physical injury,10/7/2021,udayapur,ratopati.com
1671,opportunist,assault,police,physical injury,11/7/2021,siraha,deshsanchar.com
1672,opportunist,assault,police,physical injury,11/7/2021,makwanpur,onlinekhabar.com
1673,gang,assault,police,physical injury,12/7/2021,parsa,nepallive.com
1674,minor,assault,police,physical injury,13/07/2021,lalitpur,onlinekhabar.com
1675,opportunist,assault,police,physical injury,14/07/2021,lalitpur,ratopati.com
1676,opportunist,assault,police,physical injury,15/07/2021,rautahat,ratopati.com
1677,minor,assault,police,physical injury,16/07/2021,dang,kathmandupress.com
1678,opportunist,attempt,police,physical injury,16/07/2021,khotang,ekantipur.com
1679,opportunist,attempt,police,physical injury,17/07/2021,sindhuli,newsofnepal.com
1680,minor,assault,police,physical injury,18/07/2021,parsa,deshsanchar.com
1681,minor,abuse,police,physical injury,19/07/2021,sunsari,rajdhanidaily.com
1682,opportunist,assault,police,physical injury,19/07/2021,gulmi,ratopati.com
1683,gang,assault,police,physical injury,20/07/2021,dadeldhura,thahakhabar.com
1684,minor,abuse,police,physical injury,21/07/2021,rupandehi,nepalpolice.gov.np
1685,opportunist,assault,police,physical injury,22/07/2021,kailali,inseconline.org
1686,minor,abuse,police,physical injury,22/07/2021,bhaktapur,onlinekhabar.com
1687,opportunist,assault,police,physical injury,22/07/2021,taplejung,inseconline.org
1688,opportunist,attempt,police,physical injury,22/07/2021,nawalparasi,inseconline.org
1689,gang,abuse,police,physical injury,22/07/2021,dhanusa,inseconline.org
1690,minor,assault,police,physical injury,22/07/2021,gorkha,ekantipur.com
1691,opportunist,assault,police,physical injury,24/07/2021,tanahu,nepalpolice.gov.np
1692,minor,assault,police,physical injury,25/07/2021,siraha,inseconline.org
1693,minor,abuse,police,physical injury,25/07/2021,salyan,inseconline.org
1694,opportunist,assault,police,physical injury,25/07/2021,kaski,inseconline.org
1695,minor,assault,police,physical injury,25/07/2021,udayapur,nepalnews.com
1696,minor,assault,police,physical injury,25/07/2021,palpa,ratopati.com
1697,minor,abuse,police,physical injury,26/07/2021,kailali,rajdhanidaily.com
1698,minor,attempt,police,physical injury,28/07/2021,dang,setopati.com
1699,minor,assault,police,physical injury,29/07/2021,dhankuta,nepalnews.com
1700,minor,abuse,police,physical injury,30/07/2021,mustang,inseconline.org
1701,opportunist,assault,police,physical injury,30/07/2021,mustang,inseconline.org
1702,minor,assault,police,physical injury,31/07/2021,arghakhanchi,onlinekhabar.com
1703,minor,attempt,police,physical injury,31/07/2021,dang,setopati.com
1704,gang,assault,police,physical injury,2/8/2021,solukhumbu,inseconline.org
1705,minor,abuse,police,physical injury,3/8/2021,siraha,nepalpolice.gov.np
1706,opportunist,abuse,police,physical injury,3/8/2021,morang,inseconline.org
1707,opportunist,assault,police,physical injury,3/8/2021,kailali,inseconline.org
1708,minor,assault,police,physical injury,3/8/2021,dang,inseconline.org
1709,opportunist,abuse,police,physical injury,3/8/2021,sarlahi,inseconline.org
1710,opportunist,assault,police,physical injury,4/8/2021,palpa,kathmandupress.com
1711,minor,assault,police,physical injury,5/8/2021,morang,kathmandupress.com
1712,gang,assault,police,physical injury,7/8/2021,parbat,news24nepal.tv
1713,opportunist,attempt,victim,physical injury,7/8/2021,siraha,inseconline.org
1714,minor,assault,police,physical injury,7/8/2021,gorkha,inseconline.org
1715,minor,assault,police,physical injury,7/8/2021,lalitpur,inseconline.org
1716,minor,assault,police,physical injury,7/8/2021,dhankuta,inseconline.org
1717,minor,assault,police,physical injury,8/8/2021,myagdi,kathmandupress.com
1718,minor,assault,police,physical injury,8/8/2021,bardiya,kathmandupress.com
1719,minor,assault,police,physical injury,8/8/2021,dang,inseconline.org
1720,opportunist,assault,police,physical injury,9/8/2021,kaski,ratopati.com
1721,opportunist,attempt,police,physical injury,12/8/2021,rupandehi,ekantipur.com
1722,minor,assault,police,physical injury,13/08/2021,sunsari,ratopati.com
1723,minor,assault,police,physical injury,13/08/2021,gulmi,inseconline.org
1724,minor,assault,police,physical injury,13/08/2021,syangja,nepalnews.com
1725,minor,assault,police,physical injury,13/08/2021,rolpa,kathmandupress.com
1726,opportunist,assault,police,physical injury,14/08/2021,tanahu,inseconline.org
1727,minor,assault,police,physical injury,14/08/2021,rupandehi,inseconline.org
1728,opportunist,assault,police,physical injury,14/08/2021,sankhuwasabha,inseconline.org
1729,opportunist,attempt,police,physical injury,15/08/2021,kailali,inseconline.org
1730,minor,abuse,police,physical injury,16/08/2021,siraha,inseconline.org
1731,minor,assault,police,physical injury,16/08/2021,kapilvastu,pokharanews.com
1732,minor,assault,police,physical injury,17/08/2021,bara,ratopati.com
1733,minor,abuse,police,physical injury,18/08/2021,nawalparasi,inseconline.org
1734,minor,assault,police,physical injury,20/08/2021,rupandehi,nepalpolice.gov.np
1735,gang,assault,police,physical injury,20/08/2021,surkhet,nepalpolice.gov.np
1736,opportunist,assault,police,physical injury,21/08/2021,kailali,kathmandupress.com
1737,gang,assault,police,physical injury,21/08/2021,achham,setopati.com
1738,opportunist,abuse,police,physical injury,21/08/2021,bajhang,inseconline.org
1739,gang,assault,police,physical injury,23/08/2021,jumla,thahakhabar.com
1740,minor,assault,police,physical injury,23/08/2021,rupandehi,nepalpolice.gov.np
1741,opportunist,assault,police,physical injury,23/08/2021,mustang,inseconline.org
1742,opportunist,assault,police,physical injury,23/08/2021,kapilvastu,inseconline.org
1743,opportunist,attempt,police,physical injury,23/08/2021,kailali,inseconline.org
1744,opportunist,assault,police,physical injury,24/08/2021,bardiya,onlinekhabar.com
1745,opportunist,assault,police,physical injury,25/08/2021,bardiya,inseconline.org
1746,gang,assault,police,physical injury,25/08/2021,dang,inseconline.org
